chain,protocol,source,source_port,destination,destination_port,action
OUTPUT,udp,231.142.224.23,29425,247.108.59.187,54273,DROP
FORWARD,udp,192.81.35.173,20589,174.32.31.198,50651,ACCEPT
OUTPUT,udp,107.120.54.49,12892,252.196.11.181,5494,ACCEPT
INPUT,udp,219.253.121.221,4583,204.222.232.167,36149,ACCEPT
FORWARD,tcp,220.33.52.193,19125,54.8.169.138,2480,ACCEPT
INPUT,udp,108.44.43.225,24454,226.45.107.70,37975,DROP
INPUT,tcp,14.250.12.120,49107,12.45.193.204,21801,ACCEPT
OUTPUT,tcp,208.94.115.99,38210,27.238.161.221,27461,ACCEPT
OUTPUT,udp,100.175.9.162,6762,235.106.82.10,10120,ACCEPT
OUTPUT,tcp,119.31.171.139,22850,113.85.80.93,4560,DROP
INPUT,tcp,250.7.139.95,62461,172.246.139.54,5563,ACCEPT
INPUT,udp,25.234.158.22,2396,70.36.224.7,4310,DROP
INPUT,tcp,31.140.133.86,45823,172.206.32.152,3230,DROP
FORWARD,tcp,106.161.182.28,41172,25.40.251.129,45413,DROP
FORWARD,udp,142.128.103.172,14378,20.192.228.57,30275,DROP
OUTPUT,udp,135.125.184.198,38009,95.238.182.191,18033,DROP
OUTPUT,tcp,146.110.192.134,60711,86.75.17.144,28306,ACCEPT
OUTPUT,udp,10.14.167.35,13779,79.135.78.17,37195,DROP
FORWARD,udp,250.12.66.201,54073,58.108.52.136,15310,ACCEPT
FORWARD,udp,155.38.207.122,39185,132.107.227.3,35340,DROP
FORWARD,tcp,12.30.73.103,3729,211.138.142.223,56669,DROP
FORWARD,udp,8.28.75.2,36438,42.103.169.169,51455,DROP
FORWARD,tcp,19.48.158.116,60202,134.243.119.180,61679,DROP
INPUT,udp,96.127.190.211,724,202.10.54.209,27789,DROP
OUTPUT,udp,155.103.89.65,49579,147.246.204.119,26536,DROP
INPUT,udp,160.54.197.53,65256,103.21.107.235,9838,DROP
INPUT,udp,114.152.135.109,63112,26.4.25.22,55179,DROP
INPUT,tcp,120.165.238.71,6320,241.168.239.192,24462,ACCEPT
INPUT,tcp,157.8.80.132,47151,157.116.182.209,46740,ACCEPT
FORWARD,udp,20.17.114.1,23829,253.15.49.246,21686,DROP
INPUT,udp,45.250.174.50,58626,118.102.6.81,47264,ACCEPT
OUTPUT,udp,209.145.14.93,36837,180.40.126.175,59853,DROP
FORWARD,tcp,131.102.20.100,11773,96.158.199.13,32049,ACCEPT
FORWARD,tcp,84.177.138.157,5405,43.105.15.112,50353,ACCEPT
FORWARD,udp,215.254.121.147,2368,197.103.57.19,51801,DROP
INPUT,udp,139.240.162.80,24908,81.43.12.80,60346,ACCEPT
OUTPUT,tcp,157.7.233.28,35850,98.237.173.205,2818,ACCEPT
OUTPUT,udp,138.22.164.210,52194,140.170.253.179,59765,DROP
OUTPUT,udp,202.105.125.35,57045,91.217.69.135,9302,ACCEPT
INPUT,tcp,105.245.61.10,18716,222.137.129.187,31653,ACCEPT
INPUT,tcp,206.165.76.137,52793,168.215.92.188,12396,ACCEPT
OUTPUT,udp,161.78.19.102,5222,73.9.115.52,19542,DROP
OUTPUT,tcp,51.125.110.142,31520,156.23.85.232,36255,DROP
OUTPUT,tcp,30.98.187.138,34073,121.23.140.220,29490,ACCEPT
FORWARD,udp,215.196.93.223,27156,182.58.84.9,51177,ACCEPT
OUTPUT,tcp,65.209.244.213,13391,64.189.93.150,20540,ACCEPT
FORWARD,udp,49.163.25.26,58304,73.228.95.128,7136,ACCEPT
OUTPUT,tcp,83.12.195.79,60878,144.202.35.146,20383,ACCEPT
OUTPUT,udp,123.13.66.36,19405,228.60.44.136,1894,DROP
FORWARD,tcp,250.146.118.152,27682,207.43.29.0,33952,ACCEPT
INPUT,udp,82.77.58.94,5630,80.75.26.104,40209,ACCEPT
INPUT,udp,65.106.22.44,39645,72.244.46.146,49549,DROP
FORWARD,tcp,73.189.145.240,32742,145.220.246.140,26384,DROP
FORWARD,tcp,62.60.58.203,36234,61.40.106.196,12092,ACCEPT
OUTPUT,udp,5.245.83.255,56950,225.150.54.213,52973,ACCEPT
OUTPUT,tcp,202.100.171.201,59392,193.66.209.173,27838,DROP
INPUT,tcp,13.121.193.233,44408,142.194.101.183,47889,DROP
FORWARD,udp,218.29.182.245,62961,209.20.131.87,9767,DROP
FORWARD,udp,35.60.7.182,43072,254.208.91.211,62383,ACCEPT
INPUT,udp,240.50.118.31,35200,26.188.64.187,13414,ACCEPT
INPUT,tcp,118.9.123.139,59718,12.147.77.72,20807,DROP
OUTPUT,tcp,107.233.13.164,14887,116.111.150.47,30950,ACCEPT
FORWARD,udp,85.158.253.85,30507,28.209.101.254,34889,ACCEPT
INPUT,tcp,76.226.214.101,63432,220.8.212.71,32640,DROP
INPUT,tcp,240.200.1.197,5451,133.89.248.165,3756,DROP
INPUT,udp,230.202.37.20,48605,101.133.182.112,59673,DROP
OUTPUT,udp,44.77.128.25,11011,73.115.19.163,52306,DROP
FORWARD,tcp,154.69.15.73,22684,49.214.47.69,7982,DROP
OUTPUT,udp,145.131.98.56,59990,59.133.234.149,4436,DROP
OUTPUT,tcp,136.80.149.104,43413,29.108.237.201,13885,DROP
FORWARD,udp,54.204.137.77,32410,153.172.96.220,422,DROP
INPUT,tcp,119.173.34.137,5268,161.36.88.44,49627,ACCEPT
OUTPUT,tcp,99.106.82.164,63723,206.35.185.88,47017,DROP
FORWARD,udp,124.112.69.78,14757,92.187.176.101,8782,ACCEPT
INPUT,udp,76.189.206.224,53249,74.224.209.74,16926,ACCEPT
INPUT,udp,57.225.245.250,15564,72.242.43.131,20157,DROP
FORWARD,udp,36.231.39.179,41392,54.254.214.214,52755,ACCEPT
OUTPUT,tcp,185.223.93.60,34685,65.7.26.30,35944,DROP
INPUT,tcp,157.81.30.236,53549,47.139.50.52,38471,DROP
INPUT,tcp,23.176.211.117,12824,208.193.38.200,56170,DROP
FORWARD,tcp,17.124.233.245,24898,93.230.207.192,64687,ACCEPT
INPUT,udp,113.23.107.117,14547,240.62.10.165,44139,DROP
OUTPUT,udp,145.204.116.15,60952,182.20.192.149,46813,DROP
OUTPUT,udp,142.153.137.188,9886,127.223.197.29,27835,ACCEPT
OUTPUT,udp,79.105.251.29,3372,156.180.240.46,2662,ACCEPT
INPUT,tcp,240.59.102.235,2970,119.98.140.138,36493,ACCEPT
FORWARD,tcp,202.206.177.47,27600,102.248.37.95,37505,ACCEPT
INPUT,tcp,215.9.167.252,17466,221.94.28.155,50510,DROP
OUTPUT,tcp,148.232.198.62,47292,107.17.20.203,21753,DROP
INPUT,tcp,40.247.154.187,17495,64.168.194.1,60153,DROP
FORWARD,tcp,53.166.234.52,7202,83.241.98.205,46704,ACCEPT
INPUT,udp,193.198.83.181,35326,43.98.128.54,65394,DROP
INPUT,udp,71.51.146.138,60031,80.146.251.239,26802,ACCEPT
FORWARD,tcp,237.148.206.187,2415,133.149.65.92,54114,ACCEPT
OUTPUT,udp,46.39.135.241,7817,27.108.191.164,35159,DROP
INPUT,tcp,140.62.12.216,14123,44.166.52.149,18809,ACCEPT
OUTPUT,tcp,95.107.79.35,29963,184.44.154.9,37716,ACCEPT
OUTPUT,udp,207.43.191.169,12338,147.211.186.99,44481,DROP
INPUT,tcp,104.238.237.208,31191,55.16.104.9,7091,DROP
INPUT,tcp,235.188.103.38,32694,193.15.68.131,59812,DROP
INPUT,tcp,102.240.129.69,60531,170.255.9.102,23128,ACCEPT
FORWARD,tcp,215.98.221.187,60810,77.94.114.85,54542,ACCEPT
INPUT,udp,145.22.169.138,13648,247.119.164.145,58284,DROP
FORWARD,udp,155.95.56.92,47476,208.32.242.196,49858,ACCEPT
FORWARD,tcp,15.216.94.227,44136,78.120.44.228,22782,DROP
INPUT,tcp,37.103.130.70,55592,99.19.22.75,2710,DROP
OUTPUT,tcp,138.206.114.72,26793,253.81.206.223,36704,ACCEPT
INPUT,udp,192.61.26.40,20672,189.3.104.27,45589,DROP
INPUT,tcp,64.102.175.221,28545,142.88.220.112,46554,ACCEPT
OUTPUT,tcp,117.156.74.244,50803,129.41.116.128,49006,DROP
INPUT,udp,6.86.115.25,23182,7.75.251.179,28682,ACCEPT
INPUT,udp,212.143.150.39,54547,36.239.161.186,50077,ACCEPT
INPUT,tcp,242.176.55.237,63333,190.116.249.160,24204,DROP
FORWARD,udp,193.116.134.120,42937,166.182.49.231,53510,ACCEPT
INPUT,udp,212.146.188.251,25991,70.162.96.18,1963,ACCEPT
FORWARD,tcp,51.110.88.136,41107,119.235.89.234,57171,DROP
FORWARD,tcp,120.108.251.146,47136,8.160.150.209,22835,DROP
OUTPUT,udp,255.48.67.164,17655,101.212.97.184,4063,ACCEPT
OUTPUT,udp,13.115.152.229,3860,15.113.41.126,24445,DROP
INPUT,udp,95.44.73.50,3392,78.78.122.107,28139,ACCEPT
FORWARD,udp,15.12.78.211,46396,116.115.90.241,38297,ACCEPT
FORWARD,tcp,50.3.251.106,4754,172.216.70.125,39964,ACCEPT
FORWARD,udp,63.224.222.144,22651,200.184.133.9,32126,DROP
OUTPUT,udp,154.6.211.78,61311,30.27.2.58,53728,DROP
OUTPUT,udp,189.214.32.138,53627,44.39.140.217,27936,DROP
INPUT,udp,87.240.137.210,27663,18.33.5.204,41490,ACCEPT
INPUT,tcp,212.165.27.82,35746,173.115.13.72,28084,DROP
FORWARD,udp,58.12.37.252,26857,229.128.170.1,49,DROP
OUTPUT,udp,81.5.207.112,15809,201.245.92.82,26509,DROP
INPUT,udp,107.67.237.19,47325,218.68.169.239,33079,ACCEPT
FORWARD,udp,67.154.240.109,27942,37.83.97.71,37865,ACCEPT
OUTPUT,udp,120.241.245.110,31934,206.230.91.214,22935,ACCEPT
INPUT,udp,201.239.246.71,57101,174.173.200.249,6127,ACCEPT
FORWARD,tcp,192.28.94.133,33489,54.53.184.11,25449,DROP
OUTPUT,udp,94.122.170.131,29087,94.92.166.13,24272,ACCEPT
INPUT,tcp,147.24.165.159,46229,16.242.195.216,37033,ACCEPT
OUTPUT,tcp,54.206.142.43,17472,246.96.166.125,33540,ACCEPT
FORWARD,tcp,86.154.8.121,61070,65.36.29.133,718,DROP
INPUT,udp,8.99.200.252,34970,171.22.67.90,51583,ACCEPT
OUTPUT,udp,7.242.83.146,32992,238.135.211.249,36266,ACCEPT
INPUT,tcp,251.237.101.203,53707,123.12.111.191,42921,DROP
FORWARD,udp,91.29.52.140,64945,104.135.68.2,48206,ACCEPT
OUTPUT,udp,96.249.133.109,16640,18.151.177.247,12195,ACCEPT
OUTPUT,udp,160.101.235.11,8169,191.131.9.49,48218,DROP
FORWARD,udp,228.232.202.112,33823,127.87.36.64,15035,ACCEPT
OUTPUT,tcp,172.25.203.128,5329,116.40.34.229,5838,DROP
FORWARD,udp,55.180.189.179,12115,122.26.64.243,9908,DROP
OUTPUT,udp,170.115.203.68,44632,29.1.83.76,20250,ACCEPT
OUTPUT,tcp,248.75.216.65,33263,17.37.43.163,13419,DROP
FORWARD,tcp,126.75.68.213,34575,48.220.21.190,1292,DROP
FORWARD,tcp,77.140.62.184,39824,65.120.174.202,6752,ACCEPT
OUTPUT,udp,6.30.35.205,44357,10.141.131.175,64150,DROP
FORWARD,udp,78.188.110.86,57318,149.32.1.127,26943,ACCEPT
FORWARD,tcp,188.208.113.240,65374,135.215.48.12,60194,DROP
INPUT,udp,30.64.245.90,8910,145.79.117.143,17573,ACCEPT
FORWARD,udp,230.209.207.242,64578,10.247.33.108,24457,DROP
FORWARD,tcp,230.143.31.172,16866,132.2.113.147,5286,ACCEPT
INPUT,udp,180.149.200.22,47738,255.246.234.183,45880,DROP
FORWARD,udp,197.127.78.213,10059,79.2.102.80,7475,ACCEPT
OUTPUT,tcp,162.226.195.177,27735,13.174.241.197,35772,ACCEPT
INPUT,tcp,70.155.117.143,58042,224.200.185.6,13796,DROP
OUTPUT,udp,210.50.170.148,29817,163.101.202.49,2627,DROP
OUTPUT,udp,54.216.30.38,34392,62.131.95.169,5908,ACCEPT
INPUT,tcp,49.137.105.41,15091,141.220.148.186,35212,ACCEPT
OUTPUT,tcp,221.207.105.47,45804,8.53.119.248,64381,DROP
OUTPUT,tcp,106.27.35.116,3373,139.69.150.62,36536,DROP
INPUT,udp,193.54.91.190,17499,148.35.219.101,29816,ACCEPT
INPUT,tcp,207.57.28.55,24345,31.238.231.98,6947,DROP
FORWARD,tcp,104.202.208.21,54685,3.208.166.66,11880,ACCEPT
INPUT,udp,224.122.185.36,55090,23.10.129.97,23673,DROP
INPUT,udp,15.51.144.27,59202,233.17.75.160,54825,DROP
INPUT,tcp,201.30.153.98,34678,110.58.162.62,21697,DROP
OUTPUT,tcp,188.67.83.229,33730,126.126.173.106,21924,DROP
FORWARD,tcp,163.87.149.118,28738,7.31.113.184,11021,ACCEPT
FORWARD,tcp,166.17.16.120,61732,234.240.243.10,1306,DROP
OUTPUT,tcp,248.212.147.108,6059,66.28.154.73,48618,DROP
INPUT,tcp,60.218.129.250,54447,11.229.209.24,16886,ACCEPT
INPUT,udp,249.139.44.250,52757,139.19.160.224,24761,ACCEPT
INPUT,tcp,91.227.90.255,14555,112.224.248.119,36865,ACCEPT
INPUT,tcp,208.111.124.58,59292,250.58.147.211,57643,DROP
INPUT,udp,51.232.41.159,20724,50.155.6.114,9193,DROP
FORWARD,tcp,86.190.177.68,61256,199.8.53.128,20940,DROP
FORWARD,udp,229.109.250.23,44975,97.136.53.121,43286,ACCEPT
INPUT,udp,205.51.5.124,48720,21.198.198.46,52343,DROP
INPUT,tcp,141.212.237.232,50099,71.205.199.76,52663,ACCEPT
OUTPUT,tcp,254.89.200.48,55078,51.254.158.162,64994,DROP
INPUT,udp,234.97.228.82,47612,14.30.231.199,49285,ACCEPT
INPUT,udp,20.245.243.92,13871,168.124.209.108,59460,DROP
FORWARD,tcp,230.234.127.85,36188,241.201.94.27,10757,DROP
OUTPUT,tcp,187.175.222.120,2360,91.151.241.248,48972,DROP
INPUT,tcp,25.187.126.217,52470,160.176.136.82,54523,DROP
OUTPUT,tcp,42.128.192.31,5978,101.45.78.214,3483,DROP
INPUT,udp,203.237.169.170,12144,255.239.10.202,1680,DROP
FORWARD,udp,176.194.103.72,3226,198.74.244.110,31827,ACCEPT
OUTPUT,udp,196.215.216.230,4184,13.176.202.169,25989,ACCEPT
FORWARD,udp,238.159.85.184,40270,125.250.135.168,41876,DROP
OUTPUT,udp,143.133.96.79,38017,51.255.236.130,22836,ACCEPT
INPUT,udp,182.190.135.172,47447,215.91.12.87,43043,ACCEPT
INPUT,udp,11.230.117.97,61614,173.210.108.54,36200,ACCEPT
FORWARD,tcp,144.107.137.12,58146,255.78.140.4,28234,DROP
OUTPUT,tcp,215.172.178.20,12948,32.164.161.47,49374,ACCEPT
OUTPUT,udp,33.12.235.142,19639,41.162.8.141,63261,DROP
INPUT,udp,189.13.169.167,40177,217.168.114.76,13944,ACCEPT
FORWARD,udp,235.26.113.189,7266,86.64.170.183,58818,DROP
INPUT,tcp,188.197.86.222,55093,59.100.146.210,947,DROP
FORWARD,udp,87.81.82.210,43766,227.37.125.178,53792,ACCEPT
OUTPUT,udp,68.115.106.15,47019,19.59.56.26,35809,ACCEPT
INPUT,udp,30.138.92.229,63817,32.200.116.49,24865,ACCEPT
OUTPUT,tcp,49.165.122.95,38358,229.195.103.169,2375,DROP
INPUT,tcp,88.189.34.52,23707,205.24.63.144,49066,DROP
INPUT,udp,185.89.88.60,56195,146.129.10.134,5226,ACCEPT
INPUT,tcp,202.70.202.42,2876,200.106.25.153,20866,ACCEPT
FORWARD,tcp,158.139.189.45,10514,224.192.222.207,28830,ACCEPT
OUTPUT,udp,238.28.81.135,928,68.133.51.14,54463,DROP
FORWARD,udp,139.154.155.250,30327,169.155.16.21,45196,DROP
FORWARD,udp,118.87.219.73,61310,254.149.3.160,21046,DROP
OUTPUT,udp,200.160.63.130,3081,65.83.254.213,61352,ACCEPT
OUTPUT,tcp,215.247.46.231,4891,136.34.219.21,5324,DROP
FORWARD,udp,107.22.148.18,59251,102.192.237.177,29916,ACCEPT
INPUT,udp,186.200.132.185,26779,154.28.59.0,33198,DROP
FORWARD,tcp,89.217.29.84,50919,92.233.37.33,59992,ACCEPT
OUTPUT,udp,97.145.152.245,45817,249.195.198.19,56117,ACCEPT
FORWARD,tcp,4.99.202.145,7858,20.88.8.249,11400,DROP
OUTPUT,tcp,182.29.126.187,12879,250.45.33.234,48078,ACCEPT
INPUT,tcp,77.25.55.215,25240,215.194.99.156,19981,DROP
INPUT,udp,130.87.213.56,64224,223.145.154.27,10552,DROP
OUTPUT,tcp,23.182.169.211,39106,161.27.128.23,37023,DROP
OUTPUT,udp,165.38.184.57,25339,131.96.83.167,33552,ACCEPT
FORWARD,tcp,237.225.224.211,63420,203.68.132.104,5857,ACCEPT
FORWARD,tcp,78.12.218.107,53348,130.96.37.54,42272,ACCEPT
OUTPUT,tcp,162.135.170.26,35920,32.130.244.166,13373,ACCEPT
FORWARD,udp,242.191.173.74,52196,12.129.211.108,10230,DROP
OUTPUT,tcp,145.229.254.167,32880,142.107.221.146,58280,DROP
INPUT,udp,98.75.15.121,34821,177.11.50.192,30089,DROP
FORWARD,tcp,64.90.255.248,33455,62.16.78.44,37272,ACCEPT
OUTPUT,tcp,158.49.4.147,14514,23.74.6.237,50361,DROP
OUTPUT,tcp,240.146.108.101,11230,27.110.78.180,62867,DROP
OUTPUT,tcp,65.132.27.220,11681,124.72.194.186,59516,DROP
INPUT,udp,84.129.94.83,45460,1.205.147.184,48873,ACCEPT
OUTPUT,udp,91.178.2.63,51812,121.16.79.49,52731,ACCEPT
OUTPUT,udp,59.96.79.225,49557,54.69.171.70,14664,ACCEPT
FORWARD,udp,47.232.97.42,39678,108.57.77.128,55704,ACCEPT
INPUT,tcp,160.40.218.44,47099,194.48.46.5,26051,ACCEPT
INPUT,tcp,130.70.86.58,5168,72.208.167.48,56584,DROP
INPUT,udp,167.157.85.26,9158,77.249.39.145,24780,DROP
OUTPUT,udp,178.240.221.242,25090,210.129.185.76,37830,ACCEPT
INPUT,tcp,107.160.139.210,49672,188.77.234.229,26328,ACCEPT
INPUT,tcp,250.58.105.178,4857,59.99.17.245,4126,DROP
OUTPUT,tcp,56.207.213.3,14135,72.125.35.253,58740,DROP
OUTPUT,udp,168.77.83.100,26947,162.163.148.5,12452,ACCEPT
INPUT,tcp,171.96.29.33,34959,221.136.192.29,27630,DROP
OUTPUT,tcp,96.20.151.252,37312,172.88.172.226,5331,ACCEPT
FORWARD,udp,174.200.1.111,43918,88.229.1.215,14380,ACCEPT
FORWARD,tcp,40.59.49.12,13651,23.108.204.30,34394,ACCEPT
OUTPUT,tcp,12.120.49.109,34587,145.253.200.18,31630,ACCEPT
INPUT,tcp,126.192.239.175,54440,107.158.69.143,59498,ACCEPT
INPUT,tcp,205.55.140.72,33195,186.97.174.51,45216,ACCEPT
FORWARD,udp,237.92.108.105,43622,197.183.171.246,7605,ACCEPT
INPUT,tcp,191.158.60.15,33741,117.85.108.228,23177,ACCEPT
OUTPUT,tcp,70.47.67.146,33084,125.51.90.236,20286,ACCEPT
INPUT,udp,29.187.52.176,61222,118.151.70.186,17438,DROP
INPUT,tcp,224.207.185.27,22332,178.115.105.213,11090,ACCEPT
OUTPUT,udp,19.192.132.254,52362,81.134.179.11,41236,DROP
FORWARD,tcp,11.254.97.165,10375,149.90.223.70,29105,ACCEPT
INPUT,udp,19.229.10.4,52903,85.179.146.14,65295,DROP
INPUT,udp,155.246.195.155,55076,221.151.187.34,37928,ACCEPT
OUTPUT,udp,160.78.105.4,38283,115.103.75.209,65023,DROP
INPUT,udp,246.154.102.115,35830,74.159.132.230,44274,ACCEPT
FORWARD,tcp,7.247.25.18,48460,41.226.9.43,38970,DROP
OUTPUT,tcp,1.161.231.170,17166,189.194.251.12,36910,ACCEPT
OUTPUT,tcp,90.38.122.124,49821,254.204.75.50,15930,ACCEPT
FORWARD,udp,204.36.66.202,25244,231.3.80.222,30510,ACCEPT
FORWARD,tcp,197.60.78.205,54408,104.189.176.176,3585,DROP
INPUT,tcp,206.142.38.8,28357,24.219.15.126,40504,ACCEPT
FORWARD,tcp,47.112.215.178,32758,229.242.213.0,12969,DROP
FORWARD,udp,74.11.60.5,15827,213.92.123.127,9201,DROP
OUTPUT,tcp,175.213.100.148,3851,232.155.87.227,11529,ACCEPT
FORWARD,tcp,245.233.112.230,8316,161.85.86.175,33875,ACCEPT
INPUT,tcp,123.232.187.27,3890,92.33.126.37,12255,DROP
OUTPUT,udp,224.163.138.109,29972,246.203.73.1,39941,ACCEPT
OUTPUT,tcp,53.21.49.253,22011,26.118.65.136,10627,ACCEPT
INPUT,tcp,189.4.16.91,20347,64.20.105.55,19873,ACCEPT
FORWARD,udp,234.121.58.49,51884,50.117.72.138,23630,ACCEPT
INPUT,udp,7.242.40.125,32134,10.249.184.4,1042,DROP
FORWARD,udp,120.3.98.100,3901,228.215.43.212,54414,ACCEPT
INPUT,tcp,216.226.81.33,37284,178.24.41.225,58189,DROP
INPUT,udp,236.86.61.128,37899,229.220.71.56,606,DROP
OUTPUT,tcp,161.188.187.122,54386,70.188.252.53,8026,DROP
FORWARD,tcp,177.92.85.22,56116,244.94.11.111,29480,DROP
FORWARD,udp,255.22.136.207,52810,44.29.116.138,61818,DROP
FORWARD,tcp,255.85.37.201,27202,80.154.14.91,18446,ACCEPT
OUTPUT,udp,198.164.161.102,58167,173.81.167.83,28342,DROP
INPUT,tcp,24.6.180.108,28171,93.205.45.206,51639,DROP
OUTPUT,udp,118.6.64.61,34517,106.75.143.128,40664,DROP
OUTPUT,tcp,204.42.254.65,65271,223.77.232.87,43180,ACCEPT
FORWARD,udp,13.119.245.150,46745,116.55.110.77,39175,DROP
FORWARD,tcp,221.244.173.106,1141,36.199.150.89,48470,DROP
FORWARD,udp,237.188.106.189,64924,15.155.8.175,35329,ACCEPT
FORWARD,tcp,224.181.187.215,38531,42.103.157.242,57794,ACCEPT
OUTPUT,tcp,78.47.239.69,54533,102.182.40.56,1492,ACCEPT
OUTPUT,udp,162.216.50.30,12893,121.54.64.129,63617,DROP
INPUT,udp,131.104.107.173,43429,144.36.253.108,45125,DROP
OUTPUT,tcp,106.86.253.7,60907,115.30.121.3,24246,ACCEPT
OUTPUT,tcp,63.7.146.232,26470,147.145.65.195,61990,DROP
FORWARD,tcp,12.243.218.186,4072,9.173.10.145,40189,ACCEPT
INPUT,udp,240.17.218.17,43014,180.11.21.72,10960,ACCEPT
INPUT,tcp,164.190.209.142,46651,102.232.108.224,42670,ACCEPT
INPUT,tcp,217.147.81.205,24244,241.189.72.186,58151,DROP
INPUT,udp,183.168.215.250,29342,52.197.142.188,27245,DROP
OUTPUT,tcp,58.13.200.96,9438,251.65.177.214,58041,DROP
INPUT,udp,43.79.2.147,58679,5.111.87.54,34173,ACCEPT
OUTPUT,tcp,109.227.30.136,23340,162.171.99.115,18504,DROP
FORWARD,udp,2.144.249.102,20187,85.112.191.118,32617,ACCEPT
FORWARD,tcp,49.34.252.239,39933,191.244.154.149,47706,ACCEPT
INPUT,tcp,79.28.211.53,53937,188.110.2.139,61442,DROP
OUTPUT,udp,113.8.0.28,26521,27.253.117.99,16173,ACCEPT
OUTPUT,tcp,127.162.65.118,17645,43.202.143.118,37679,DROP
INPUT,udp,203.26.58.192,48186,39.152.127.177,25527,ACCEPT
OUTPUT,tcp,118.0.226.181,34645,61.82.14.150,59173,DROP
FORWARD,udp,151.73.102.92,31117,52.52.174.241,7552,DROP
INPUT,tcp,38.111.243.119,47981,235.143.229.89,17854,DROP
INPUT,tcp,77.94.229.12,6868,106.162.109.235,43483,ACCEPT
OUTPUT,udp,166.237.131.16,5846,22.172.78.157,19624,DROP
OUTPUT,udp,20.35.200.114,2153,73.250.177.150,16056,DROP
INPUT,tcp,159.9.51.11,40246,186.236.0.95,52421,ACCEPT
FORWARD,udp,33.121.125.101,6901,177.124.196.3,20783,DROP
INPUT,udp,31.156.251.18,37637,5.179.33.59,3785,DROP
OUTPUT,udp,241.165.34.78,52066,46.52.0.89,18772,DROP
OUTPUT,tcp,41.196.191.227,52728,168.129.32.142,30918,DROP
OUTPUT,tcp,241.133.206.96,21868,14.66.73.171,54492,DROP
INPUT,tcp,122.47.21.31,4807,17.220.3.114,32097,ACCEPT
OUTPUT,tcp,225.104.78.231,19339,5.246.139.113,6368,ACCEPT
FORWARD,udp,75.83.172.0,56633,177.46.24.191,20797,ACCEPT
OUTPUT,tcp,85.79.49.203,45313,65.11.180.111,56237,DROP
FORWARD,udp,63.204.44.148,37414,10.176.156.202,37140,DROP
FORWARD,udp,109.154.216.175,709,23.140.74.48,50884,ACCEPT
OUTPUT,tcp,228.145.241.218,40620,94.252.146.242,44379,ACCEPT
OUTPUT,tcp,253.177.22.123,36684,238.59.179.143,18520,ACCEPT
INPUT,udp,117.79.229.207,58291,191.24.160.133,43272,DROP
FORWARD,tcp,2.246.49.89,18184,123.110.52.180,14409,ACCEPT
OUTPUT,udp,66.161.190.35,49471,133.214.242.39,35167,ACCEPT
OUTPUT,udp,133.104.97.98,13677,216.156.146.76,31899,DROP
INPUT,udp,243.153.183.212,63436,70.73.39.174,31600,ACCEPT
INPUT,udp,4.206.164.74,51888,120.59.128.186,47961,ACCEPT
INPUT,tcp,123.129.190.184,49109,226.163.248.179,23136,DROP
FORWARD,tcp,174.143.110.250,2622,158.168.51.153,52870,DROP
FORWARD,udp,164.210.248.180,42827,169.190.243.154,27033,DROP
INPUT,tcp,139.20.78.38,54399,164.113.16.92,19673,ACCEPT
INPUT,tcp,240.64.181.133,57809,113.81.97.85,23675,DROP
FORWARD,udp,111.162.108.50,30687,212.62.190.57,53530,ACCEPT
INPUT,tcp,23.129.45.13,22423,166.151.205.161,4207,ACCEPT
OUTPUT,udp,68.126.28.237,29673,159.213.216.49,37324,ACCEPT
OUTPUT,tcp,37.221.70.230,25893,154.55.96.9,20227,DROP
INPUT,tcp,132.130.107.59,28738,2.143.135.69,54336,ACCEPT
OUTPUT,udp,145.184.98.223,42594,142.104.123.0,57642,DROP
FORWARD,udp,57.191.244.229,36835,109.138.21.237,40574,ACCEPT
INPUT,tcp,219.77.103.32,54520,149.131.124.144,61610,DROP
OUTPUT,tcp,212.77.172.183,44955,222.155.46.74,37669,ACCEPT
OUTPUT,udp,113.3.180.232,26265,147.251.189.185,21882,DROP
OUTPUT,udp,85.134.162.240,24326,40.195.0.203,64271,ACCEPT
FORWARD,tcp,95.14.6.206,49132,84.89.91.146,57628,DROP
FORWARD,tcp,226.46.246.207,40967,154.199.183.185,47699,DROP
INPUT,tcp,28.196.251.88,48090,77.41.181.80,30193,ACCEPT
FORWARD,tcp,157.75.168.245,43254,25.191.151.118,12178,DROP
FORWARD,udp,52.104.68.229,62134,10.218.228.214,25848,ACCEPT
OUTPUT,tcp,173.179.110.38,28346,99.63.164.192,12029,ACCEPT
FORWARD,tcp,255.252.68.106,39262,198.225.223.71,59548,DROP
FORWARD,tcp,158.102.43.102,39529,170.71.141.66,1631,DROP
OUTPUT,udp,238.27.188.31,44877,245.171.130.55,30428,ACCEPT
OUTPUT,udp,101.147.99.193,14248,214.32.10.153,3129,DROP
FORWARD,udp,62.88.149.16,2947,234.69.232.222,31100,ACCEPT
INPUT,tcp,209.9.99.120,2709,227.142.229.164,14394,ACCEPT
FORWARD,udp,221.189.224.220,43579,8.132.152.51,51515,DROP
FORWARD,tcp,46.143.235.11,17093,204.96.74.39,17876,ACCEPT
FORWARD,tcp,113.109.224.137,1066,250.6.201.184,45459,DROP
OUTPUT,tcp,217.35.171.67,13443,97.23.31.243,49243,DROP
OUTPUT,udp,204.172.124.85,5808,123.23.149.152,5221,DROP
OUTPUT,tcp,242.38.221.172,25286,15.172.202.189,32058,DROP
